dataset,arity,band,n_candidates,n_accepted,n_test_supported,median_train_selectivity,median_train_cardinality,median_test_cardinality,realized_bands
news,48,0.4,10,10,10,0.3994269876366354,12826,1608,25-50%
news,48,0.25,10,10,10,0.24963408177882968,8016,1017,"10-25%,25-50%"
news,48,0.1,10,10,10,0.10007474074304756,3213,419,"10-25%,5-10%"
news,48,0.05,10,10,10,0.049671452150353464,1595,205,"2-5%,5-10%"
news,48,0.02,10,10,10,0.019915293824546106,639,86,"1-2%,2-5%"
news,48,0.01,10,10,2,0.010012145370745228,321,43,"0.5-1%,1-2%"
news,48,0.005,10,10,0,0.005013858179440067,161,19,"0.5-1%,<0.5%"
