dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
default,0.05,7,extension,categorical,8,8,1.0,146
default,0.05,7,extension,mixed,8,8,1.0,150
default,0.05,8,extension,numeric,8,8,1.0,141
default,0.05,8,extension,categorical,8,8,1.0,73
default,0.05,8,extension,mixed,8,8,1.0,145
default,0.05,9,extension,numeric,8,8,1.0,147
default,0.05,9,extension,categorical,8,8,1.0,145
default,0.05,9,extension,mixed,8,8,1.0,151
default,0.05,10,extension,numeric,8,8,1.0,143
default,0.05,10,extension,categorical,8,8,1.0,145
default,0.05,10,extension,mixed,8,8,1.0,140
default,0.02,1,primary,numeric,8,6,0.75,61
default,0.02,1,primary,categorical,8,6,0.75,920
default,0.02,1,primary,mixed,8,7,0.875,60
default,0.02,2,primary,numeric,8,7,0.875,54
default,0.02,2,primary,categorical,8,7,0.875,42
default,0.02,2,primary,mixed,8,7,0.875,56
default,0.02,3,primary,numeric,8,7,0.875,54
default,0.02,3,primary,categorical,8,7,0.875,32
default,0.02,3,primary,mixed,8,8,1.0,54
default,0.02,4,primary,numeric,8,8,1.0,56
default,0.02,4,primary,categorical,8,8,1.0,41
default,0.02,4,primary,mixed,8,8,1.0,65
default,0.02,5,primary,numeric,8,8,1.0,56
default,0.02,5,primary,categorical,8,7,0.875,31
default,0.02,5,primary,mixed,8,7,0.875,53
default,0.02,6,primary,numeric,8,8,1.0,61
default,0.02,6,primary,categorical,8,7,0.875,36
default,0.02,6,primary,mixed,8,6,0.75,56
default,0.02,7,extension,numeric,8,8,1.0,66
default,0.02,7,extension,categorical,8,8,1.0,30
default,0.02,7,extension,mixed,8,8,1.0,65
default,0.02,8,extension,numeric,8,8,1.0,56
default,0.02,8,extension,categorical,8,7,0.875,36
default,0.02,8,extension,mixed,8,8,1.0,58
default,0.02,9,extension,numeric,8,8,1.0,56
default,0.02,9,extension,categorical,8,5,0.625,10
default,0.02,9,extension,mixed,8,8,1.0,52
default,0.02,10,extension,numeric,8,8,1.0,61
default,0.02,10,extension,categorical,8,7,0.875,14
default,0.02,10,extension,mixed,8,8,1.0,53
default,0.01,1,primary,numeric,8,4,0.5,1516
default,0.01,1,primary,categorical,8,5,0.625,920
default,0.01,1,primary,mixed,8,7,0.875,38
