dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
diabetes,0.1,10,extension,mixed,8,7,0.875,2062.0
diabetes,0.05,1,primary,numeric,8,1,0.125,20354.0
diabetes,0.05,1,primary,categorical,8,6,0.75,1145.0
diabetes,0.05,1,primary,mixed,8,1,0.125,20354.0
diabetes,0.05,2,primary,numeric,8,2,0.25,20353.0
diabetes,0.05,2,primary,categorical,8,5,0.625,123.0
diabetes,0.05,2,primary,mixed,8,5,0.625,869.0
diabetes,0.05,3,primary,numeric,8,2,0.25,20354.0
diabetes,0.05,3,primary,categorical,8,7,0.875,523.0
diabetes,0.05,3,primary,mixed,8,7,0.875,1045.0
diabetes,0.05,4,primary,numeric,8,7,0.875,978.0
diabetes,0.05,4,primary,categorical,8,8,1.0,374.0
diabetes,0.05,4,primary,mixed,8,7,0.875,1059.0
diabetes,0.05,5,primary,numeric,8,6,0.75,1051.0
diabetes,0.05,5,primary,categorical,8,4,0.5,19.0
diabetes,0.05,5,primary,mixed,8,8,1.0,578.0
diabetes,0.05,6,primary,numeric,8,8,1.0,994.0
diabetes,0.05,6,primary,categorical,8,3,0.375,2.0
diabetes,0.05,6,primary,mixed,8,5,0.625,38.0
diabetes,0.05,7,extension,numeric,8,8,1.0,999.0
diabetes,0.05,7,extension,categorical,8,7,0.875,398.0
diabetes,0.05,7,extension,mixed,8,5,0.625,70.0
diabetes,0.05,8,extension,numeric,8,8,1.0,1023.0
diabetes,0.05,8,extension,categorical,8,6,0.75,261.0
diabetes,0.05,8,extension,mixed,8,5,0.625,283.0
diabetes,0.05,9,extension,numeric,8,8,1.0,1034.0
diabetes,0.05,9,extension,categorical,8,8,1.0,728.0
diabetes,0.05,9,extension,mixed,8,7,0.875,1036.0
diabetes,0.05,10,extension,numeric,0,0,,
diabetes,0.05,10,extension,categorical,8,7,0.875,510.0
diabetes,0.05,10,extension,mixed,8,6,0.75,459.0
diabetes,0.02,1,primary,numeric,8,2,0.25,20354.0
diabetes,0.02,1,primary,categorical,8,7,0.875,177.0
diabetes,0.02,1,primary,mixed,8,0,0.0,20354.0
diabetes,0.02,2,primary,numeric,8,2,0.25,20353.0
diabetes,0.02,2,primary,categorical,8,7,0.875,282.0
diabetes,0.02,2,primary,mixed,8,4,0.5,131.0
diabetes,0.02,3,primary,numeric,8,3,0.375,20353.0
diabetes,0.02,3,primary,categorical,8,4,0.5,59.0
diabetes,0.02,3,primary,mixed,8,4,0.5,176.0
diabetes,0.02,4,primary,numeric,8,2,0.25,20353.0
diabetes,0.02,4,primary,categorical,8,4,0.5,32.0
diabetes,0.02,4,primary,mixed,8,4,0.5,104.0
diabetes,0.02,5,primary,numeric,8,7,0.875,975.0
diabetes,0.02,5,primary,categorical,8,4,0.5,56.0
diabetes,0.02,5,primary,mixed,8,7,0.875,459.0
diabetes,0.02,6,primary,numeric,8,7,0.875,384.0
diabetes,0.02,6,primary,categorical,8,5,0.625,205.0
diabetes,0.02,6,primary,mixed,8,2,0.25,2.0
diabetes,0.02,7,extension,numeric,8,8,1.0,415.0
diabetes,0.02,7,extension,categorical,8,5,0.625,133.0
diabetes,0.02,7,extension,mixed,8,7,0.875,391.0
diabetes,0.02,8,extension,numeric,8,8,1.0,387.0
diabetes,0.02,8,extension,categorical,8,2,0.25,0.0
diabetes,0.02,8,extension,mixed,8,5,0.625,191.0
diabetes,0.02,9,extension,numeric,8,8,1.0,373.0
diabetes,0.02,9,extension,categorical,8,5,0.625,72.0
diabetes,0.02,9,extension,mixed,8,3,0.375,15.0
diabetes,0.02,10,extension,numeric,0,0,,
diabetes,0.02,10,extension,categorical,8,4,0.5,53.0
diabetes,0.02,10,extension,mixed,8,2,0.25,1.0
diabetes,0.01,1,primary,numeric,8,1,0.125,20354.0
diabetes,0.01,1,primary,categorical,8,3,0.375,453.0
diabetes,0.01,1,primary,mixed,8,0,0.0,20354.0
diabetes,0.01,2,primary,numeric,8,1,0.125,20354.0
diabetes,0.01,2,primary,categorical,8,6,0.75,61.0
diabetes,0.01,2,primary,mixed,8,4,0.5,826.0
diabetes,0.01,3,primary,numeric,8,1,0.125,20353.0
diabetes,0.01,3,primary,categorical,8,1,0.125,3.0
diabetes,0.01,3,primary,mixed,8,3,0.375,140.0
diabetes,0.01,4,primary,numeric,8,2,0.25,20353.0
diabetes,0.01,4,primary,categorical,8,1,0.125,0.0
diabetes,0.01,4,primary,mixed,8,6,0.75,183.0
diabetes,0.01,5,primary,numeric,8,5,0.625,494.0
diabetes,0.01,5,primary,categorical,8,1,0.125,1.0
diabetes,0.01,5,primary,mixed,8,4,0.5,25.0
diabetes,0.01,6,primary,numeric,8,7,0.875,269.0
diabetes,0.01,6,primary,categorical,8,1,0.125,0.0
diabetes,0.01,6,primary,mixed,8,7,0.875,179.0
diabetes,0.01,7,extension,numeric,8,8,1.0,194.0
diabetes,0.01,7,extension,categorical,8,4,0.5,9.0
diabetes,0.01,7,extension,mixed,8,4,0.5,9.0
diabetes,0.01,8,extension,numeric,8,8,1.0,200.0
diabetes,0.01,8,extension,categorical,8,3,0.375,7.0
diabetes,0.01,8,extension,mixed,8,4,0.5,21.0
diabetes,0.01,9,extension,numeric,8,7,0.875,208.0
diabetes,0.01,9,extension,categorical,8,5,0.625,170.0
diabetes,0.01,9,extension,mixed,8,3,0.375,0.0
diabetes,0.01,10,extension,numeric,0,0,,
diabetes,0.01,10,extension,categorical,8,5,0.625,26.0
diabetes,0.01,10,extension,mixed,8,5,0.625,58.0
diabetes,0.005,1,primary,numeric,8,0,0.0,20354.0
diabetes,0.005,1,primary,categorical,8,5,0.625,107.0
diabetes,0.005,1,primary,mixed,8,0,0.0,20354.0
diabetes,0.005,2,primary,numeric,8,1,0.125,20354.0
diabetes,0.005,2,primary,categorical,8,6,0.75,42.0
diabetes,0.005,2,primary,mixed,8,5,0.625,133.0
diabetes,0.005,3,primary,numeric,8,2,0.25,91.0
diabetes,0.005,3,primary,categorical,8,4,0.5,17.0
diabetes,0.005,3,primary,mixed,8,5,0.625,64.0
diabetes,0.005,4,primary,numeric,8,3,0.375,20353.0
diabetes,0.005,4,primary,categorical,8,5,0.625,30.0
diabetes,0.005,4,primary,mixed,8,4,0.5,17.0
diabetes,0.005,5,primary,numeric,8,6,0.75,394.0
diabetes,0.005,5,primary,categorical,8,4,0.5,19.0
diabetes,0.005,5,primary,mixed,8,3,0.375,9.0
diabetes,0.005,6,primary,numeric,8,5,0.625,111.0
diabetes,0.005,6,primary,categorical,8,2,0.25,2.0
diabetes,0.005,6,primary,mixed,8,2,0.25,1.0
diabetes,0.005,7,extension,numeric,8,7,0.875,102.0
diabetes,0.005,7,extension,categorical,8,1,0.125,1.0
diabetes,0.005,7,extension,mixed,8,2,0.25,5.0
diabetes,0.005,8,extension,numeric,8,8,1.0,109.0
diabetes,0.005,8,extension,categorical,8,1,0.125,0.0
diabetes,0.005,8,extension,mixed,8,4,0.5,44.0
diabetes,0.005,9,extension,numeric,8,8,1.0,100.0
diabetes,0.005,9,extension,categorical,8,3,0.375,9.0
diabetes,0.005,9,extension,mixed,8,3,0.375,0.0
diabetes,0.005,10,extension,numeric,0,0,,
diabetes,0.005,10,extension,categorical,8,2,0.25,0.0
diabetes,0.005,10,extension,mixed,8,4,0.5,53.0
