dataset,arity,band,n_candidates,n_accepted,n_test_supported,median_train_selectivity,median_train_cardinality,median_test_cardinality,realized_bands
shoppers,18,0.4,10,10,10,0.4005206768799439,4000,471,25-50%
shoppers,18,0.25,10,10,10,0.24907379593471513,2487,281,"10-25%,25-50%"
shoppers,18,0.1,10,10,10,0.09907880244317613,989,108,"10-25%,5-10%"
shoppers,18,0.05,10,10,6,0.050015019525382995,499,52,"2-5%,5-10%"
shoppers,18,0.02,10,10,0,0.02007609892860719,200,20,"1-2%,2-5%"
shoppers,18,0.01,10,10,0,0.009912886752778613,99,12,"0.5-1%,1-2%"
shoppers,18,0.005,10,5,0,0.0049564433763893065,49,6,"0.5-1%,<0.5%"
