dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
beijing,0.05,4,primary,numeric,8,8,1.0,217.0
beijing,0.05,4,primary,categorical,8,5,0.625,11.0
beijing,0.05,4,primary,mixed,8,8,1.0,117.0
beijing,0.05,5,primary,numeric,8,8,1.0,215.0
beijing,0.05,5,primary,categorical,8,3,0.375,3.0
beijing,0.05,5,primary,mixed,8,5,0.625,32.0
beijing,0.05,6,primary,numeric,8,8,1.0,218.0
beijing,0.05,6,primary,categorical,0,0,,
beijing,0.05,6,primary,mixed,8,4,0.5,44.0
beijing,0.05,7,extension,numeric,8,8,1.0,216.0
beijing,0.05,7,extension,categorical,0,0,,
beijing,0.05,7,extension,mixed,8,5,0.625,6.0
beijing,0.05,8,extension,numeric,0,0,,
beijing,0.05,8,extension,categorical,0,0,,
beijing,0.05,8,extension,mixed,8,5,0.625,7.0
beijing,0.05,9,extension,numeric,0,0,,
beijing,0.05,9,extension,categorical,0,0,,
beijing,0.05,9,extension,mixed,8,3,0.375,3.0
beijing,0.05,10,extension,numeric,0,0,,
beijing,0.05,10,extension,categorical,0,0,,
beijing,0.05,10,extension,mixed,8,1,0.125,1.0
beijing,0.02,1,primary,numeric,8,4,0.5,2127.0
beijing,0.02,1,primary,categorical,8,8,1.0,321.0
beijing,0.02,1,primary,mixed,8,0,0.0,4176.0
beijing,0.02,2,primary,numeric,8,0,0.0,4176.0
beijing,0.02,2,primary,categorical,8,8,1.0,60.0
beijing,0.02,2,primary,mixed,8,8,1.0,89.0
beijing,0.02,3,primary,numeric,8,6,0.75,82.0
beijing,0.02,3,primary,categorical,8,6,0.75,11.0
beijing,0.02,3,primary,mixed,8,8,1.0,35.0
beijing,0.02,4,primary,numeric,8,8,1.0,85.0
beijing,0.02,4,primary,categorical,8,3,0.375,2.0
beijing,0.02,4,primary,mixed,8,7,0.875,75.0
beijing,0.02,5,primary,numeric,8,8,1.0,76.0
beijing,0.02,5,primary,categorical,8,4,0.5,6.0
beijing,0.02,5,primary,mixed,8,5,0.625,11.0
beijing,0.02,6,primary,numeric,8,8,1.0,81.0
beijing,0.02,6,primary,categorical,0,0,,
beijing,0.02,6,primary,mixed,8,3,0.375,4.0
beijing,0.02,7,extension,numeric,8,8,1.0,86.0
beijing,0.02,7,extension,categorical,0,0,,
beijing,0.02,7,extension,mixed,8,5,0.625,9.0
beijing,0.02,8,extension,numeric,0,0,,
beijing,0.02,8,extension,categorical,0,0,,
beijing,0.02,8,extension,mixed,8,4,0.5,7.0
beijing,0.02,9,extension,numeric,0,0,,
beijing,0.02,9,extension,categorical,0,0,,
beijing,0.02,9,extension,mixed,8,3,0.375,1.0
beijing,0.02,10,extension,numeric,0,0,,
beijing,0.02,10,extension,categorical,0,0,,
beijing,0.02,10,extension,mixed,8,2,0.25,0.0
beijing,0.01,1,primary,numeric,8,2,0.25,4176.0
beijing,0.01,1,primary,categorical,8,8,1.0,252.0
beijing,0.01,1,primary,mixed,8,4,0.5,2127.0
beijing,0.01,2,primary,numeric,8,6,0.75,45.0
beijing,0.01,2,primary,categorical,8,8,1.0,43.0
beijing,0.01,2,primary,mixed,8,8,1.0,183.0
beijing,0.01,3,primary,numeric,8,4,0.5,41.0
beijing,0.01,3,primary,categorical,8,6,0.75,22.0
beijing,0.01,3,primary,mixed,8,7,0.875,33.0
beijing,0.01,4,primary,numeric,8,7,0.875,41.0
beijing,0.01,4,primary,categorical,8,3,0.375,3.0
beijing,0.01,4,primary,mixed,8,8,1.0,43.0
beijing,0.01,5,primary,numeric,8,8,1.0,39.0
beijing,0.01,5,primary,categorical,8,2,0.25,3.0
beijing,0.01,5,primary,mixed,8,6,0.75,38.0
beijing,0.01,6,primary,numeric,8,8,1.0,47.0
beijing,0.01,6,primary,categorical,0,0,,
beijing,0.01,6,primary,mixed,8,6,0.75,24.0
beijing,0.01,7,extension,numeric,8,8,1.0,39.0
beijing,0.01,7,extension,categorical,0,0,,
beijing,0.01,7,extension,mixed,8,4,0.5,7.0
beijing,0.01,8,extension,numeric,0,0,,
beijing,0.01,8,extension,categorical,0,0,,
beijing,0.01,8,extension,mixed,8,2,0.25,2.0
beijing,0.01,9,extension,numeric,0,0,,
beijing,0.01,9,extension,categorical,0,0,,
beijing,0.01,9,extension,mixed,8,1,0.125,2.0
beijing,0.01,10,extension,numeric,0,0,,
beijing,0.01,10,extension,categorical,0,0,,
beijing,0.01,10,extension,mixed,8,3,0.375,1.0
beijing,0.005,1,primary,numeric,8,1,0.125,4176.0
beijing,0.005,1,primary,categorical,8,8,1.0,234.0
beijing,0.005,1,primary,mixed,8,3,0.375,73.0
beijing,0.005,2,primary,numeric,8,1,0.125,11.0
beijing,0.005,2,primary,categorical,8,8,1.0,25.0
beijing,0.005,2,primary,mixed,8,8,1.0,170.0
beijing,0.005,3,primary,numeric,8,2,0.25,2099.0
beijing,0.005,3,primary,categorical,8,8,1.0,13.0
beijing,0.005,3,primary,mixed,8,8,1.0,21.0
beijing,0.005,4,primary,numeric,8,8,1.0,19.0
beijing,0.005,4,primary,categorical,8,4,0.5,9.0
beijing,0.005,4,primary,mixed,8,7,0.875,19.0
beijing,0.005,5,primary,numeric,8,8,1.0,25.0
beijing,0.005,5,primary,categorical,8,1,0.125,0.0
beijing,0.005,5,primary,mixed,8,6,0.75,16.0
beijing,0.005,6,primary,numeric,8,8,1.0,15.0
beijing,0.005,6,primary,categorical,0,0,,
beijing,0.005,6,primary,mixed,8,3,0.375,5.0
beijing,0.005,7,extension,numeric,8,8,1.0,21.0
beijing,0.005,7,extension,categorical,0,0,,
beijing,0.005,7,extension,mixed,8,6,0.75,15.0
beijing,0.005,8,extension,numeric,0,0,,
beijing,0.005,8,extension,categorical,0,0,,
beijing,0.005,8,extension,mixed,8,4,0.5,2.0
beijing,0.005,9,extension,numeric,0,0,,
beijing,0.005,9,extension,categorical,0,0,,
beijing,0.005,9,extension,mixed,8,2,0.25,4.0
beijing,0.005,10,extension,numeric,0,0,,
beijing,0.005,10,extension,categorical,0,0,,
beijing,0.005,10,extension,mixed,8,2,0.25,0.0
