dataset,arity,band,n_candidates,n_accepted,n_test_supported,median_train_selectivity,median_train_cardinality,median_test_cardinality,realized_bands
magic,11,0.4,10,10,10,0.39983771502758847,6159,756,25-50%
magic,11,0.25,10,10,10,0.24823109380071406,3824,452,"10-25%,25-50%"
magic,11,0.1,10,10,10,0.09870172022070756,1520,172,"10-25%,5-10%"
magic,11,0.05,10,10,10,0.04969165855241804,765,89,"2-5%,5-10%"
magic,11,0.02,10,10,0,0.019928594612138917,307,36,"1-2%,2-5%"
magic,11,0.01,10,10,0,0.009802012333657904,151,15,"0.5-1%,1-2%"
magic,11,0.005,10,10,0,0.004933463161311263,76,10,"0.5-1%,<0.5%"
