dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
fb-comments,0.05,1,primary,categorical,8,5,0.625,2990
fb-comments,0.05,1,primary,mixed,8,6,0.75,1069
fb-comments,0.05,2,primary,numeric,8,6,0.75,1027
fb-comments,0.05,2,primary,categorical,8,5,0.625,1404
fb-comments,0.05,2,primary,mixed,8,8,1.0,1764
fb-comments,0.05,3,primary,numeric,8,8,1.0,979
fb-comments,0.05,3,primary,categorical,8,2,0.25,0
fb-comments,0.05,3,primary,mixed,8,5,0.625,844
fb-comments,0.05,4,primary,numeric,8,8,1.0,985
fb-comments,0.05,4,primary,categorical,8,5,0.625,871
fb-comments,0.05,4,primary,mixed,8,7,0.875,972
fb-comments,0.05,5,primary,numeric,8,8,1.0,1017
fb-comments,0.05,5,primary,categorical,8,4,0.5,184
fb-comments,0.05,5,primary,mixed,8,5,0.625,971
fb-comments,0.05,6,primary,numeric,8,8,1.0,994
fb-comments,0.05,6,primary,categorical,8,3,0.375,0
fb-comments,0.05,6,primary,mixed,8,5,0.625,360
fb-comments,0.05,7,extension,numeric,8,8,1.0,1008
fb-comments,0.05,7,extension,categorical,8,4,0.5,570
fb-comments,0.05,7,extension,mixed,8,7,0.875,1019
fb-comments,0.05,8,extension,numeric,8,8,1.0,998
fb-comments,0.05,8,extension,categorical,8,5,0.625,728
fb-comments,0.05,8,extension,mixed,8,8,1.0,1004
fb-comments,0.05,9,extension,numeric,8,8,1.0,979
fb-comments,0.05,9,extension,categorical,8,6,0.75,902
fb-comments,0.05,9,extension,mixed,8,8,1.0,997
fb-comments,0.05,10,extension,numeric,8,8,1.0,974
fb-comments,0.05,10,extension,categorical,8,8,1.0,930
fb-comments,0.05,10,extension,mixed,8,7,0.875,954
fb-comments,0.02,1,primary,numeric,8,6,0.75,477
fb-comments,0.02,1,primary,categorical,8,5,0.625,2907
fb-comments,0.02,1,primary,mixed,8,6,0.75,426
fb-comments,0.02,2,primary,numeric,8,5,0.625,425
fb-comments,0.02,2,primary,categorical,8,6,0.75,2515
fb-comments,0.02,2,primary,mixed,8,5,0.625,2845
fb-comments,0.02,3,primary,numeric,8,8,1.0,379
fb-comments,0.02,3,primary,categorical,8,1,0.125,0
fb-comments,0.02,3,primary,mixed,8,5,0.625,375
fb-comments,0.02,4,primary,numeric,8,8,1.0,394
fb-comments,0.02,4,primary,categorical,8,0,0.0,0
fb-comments,0.02,4,primary,mixed,8,4,0.5,61
fb-comments,0.02,5,primary,numeric,8,8,1.0,393
fb-comments,0.02,5,primary,categorical,8,1,0.125,0
fb-comments,0.02,5,primary,mixed,8,4,0.5,188
fb-comments,0.02,6,primary,numeric,8,8,1.0,391
fb-comments,0.02,6,primary,categorical,8,2,0.25,0
fb-comments,0.02,6,primary,mixed,8,5,0.625,280
fb-comments,0.02,7,extension,numeric,8,8,1.0,409
fb-comments,0.02,7,extension,categorical,8,1,0.125,0
fb-comments,0.02,7,extension,mixed,8,4,0.5,18
fb-comments,0.02,8,extension,numeric,8,8,1.0,381
fb-comments,0.02,8,extension,categorical,8,1,0.125,0
fb-comments,0.02,8,extension,mixed,8,5,0.625,381
fb-comments,0.02,9,extension,numeric,8,8,1.0,397
